target,context
买房,房子还在吗
买房,什么时候可以看房？
买房,您好，请问这套房子还在吗？
买房,你好，我想在浦东新场附近买个商住两用的房子
买房,我是想全款买套房，560左右，想找个不满二税费高的房子，这样我买就很划算
买房,请问这个房子靠谱卖吗
买房,想看一下万家花城的盘
买房,我想在尧化门这定居
买房,请问这房子卖吗
买房,还是这房要出售
买房,我要买房子
买房,买房子
买房,我想买房子
买房,买一个好一点的房子
买房,这边有小点的办公室出售吗
买房,我想买房
买房,房子怎么卖
买房,"房东怎么卖,"
买房,买一个大一点的房子
买房,计划买一个环境好点的地方
买房,业主多少钱能卖，为什么急售
买房,这个房子我买了
买房,那客户还有意向买吗？
买房,我要买房
买房,我想买房子
买房,我要买的房子
买房,回龙观附近的房子怎么卖
买房,maifangzi
买房,mai一个的房子
买房,这种户型多少钱能卖
买房,看看六里桥附近的房子
买房,mai房
买房,买
买房,买朝阳区华贸城的的房子
买房,想买一个在三百万左右的房子
买房,买这里主要是考虑学区啊
买房,目前月季园一号楼有几套在出售的房子？
买房,买房
买房,购买二套房源
买房,购买首套房子
买房,这套现在多少钱能卖
买房,几号楼的，我住西区44号楼，想给老人买一套
买房,有诚意买
买房,我要买楼
买房,我想买适合高手付的
买房,想在海宁安家
买房,想买个交通便利的
买房,嘉园那套128万的还在吗？
买房,顺便帮我留意下89方400w左右的
买房,想买耦园
买房,有没有单价便宜的这个户型
买房,他现在最低多少钱能卖
买房,他现在最低多少能卖
买房,就是能贷款的，可以孩子落户的，300万以里的
买房,入手一个二手房
买房,我全款买房
买房,有1000万左右的么
买房,这个多少钱能卖
买房,总价在90万左右的
买房,你好，这个急卖的最低多少钱
买房,价格200左右能全款
买房,1100万以里
买房,总价最好500万以下
买房,我想选个总价在200万的
买房,也就是首付款差不多60万，其他费用呢
买房,那就是首付预算差不多就是70万
买房,还是想买毛坯
买房,计划在省人民医院和一院中间买
买房,买个大概900万人民币上下简装的高层
买房,买900W左右毛坯地房子
买房,搜索下买一个大概400wRMB左右屋子
买房,找买估计750w左右精装得二手房
买房,买一个价值635W上下简装房产
买房,我想看买一个估计w上下精装的屋子
买房,计划买一个预估950萬得房
买房,看一看买一个大约300W人民币上下精装地高层
买房,打算买一个大概950萬元上下地房
买房,看一下maifang价钱650萬元人民币左右简装得房子
买房,想看maifang预估650万元上下毛坯地屋子
买房,瞧一瞧mai大概100萬元RMB上下毛坯公寓
买房,找个mai300万元左右毛坯得楼房
买房,找maifang预估300萬RMB简装地高层
买房,看看买100萬元RMB上下别墅
买房,看看买大概650万元精装的房
买房,找个买个200W上下精装的公寓
买房,找买一个价值400万元RMB毛坯的房子
买房,看一看买个635w人民币上下地高层
买房,我想看maifang大概100万RMB得二手房
买房,买个预估500萬元毛坯地房产
